name,entity
Snow Apex Academy,school
Metropolitan Police Commissioner’s Office,police
Matrikeshwar Mahadev,place_of_worship
Tindhara Pathshala,school
Rastriya Naach Ghar,theatre
Jame Mosque,place_of_worship
Bhaktapur Bus Park,bus_station
Bishwa Jyoti Hall,cinema
Himalayan Bank Ltd area,bank
Nepal Investment Bank,bank
Malingo,restaurant
Shaheed Shukra Secondary School,school
Phoenix College,school
NIIT Kathmandu Center,school
जन प्रसासन केन्द्रिय विभाग,school
Jame Market,marketplace
Agriculture Development Bank ( Ratna Park Branch ),bank
Kamalpokhari Apartment,apartment
The Spangle Boarding School,school
Nabil Bank,bank
Yak & Yeti Car Parking,parking
1905 Parking,parking
Ghantaghar,clock
The Societe Lounge & Bar,restaurant
Yak & Yeti Motorcycle Parking,parking
Shanker Dev Campus,college
Mega Bank,bank
ChaarKhaal,prison
Agricultural Development Bank Limited,bank
Nepal Investment Mega Bank Ltd,bank
Dharma Chakra Vihar,place_of_worship
Maple School,school
Swatha Parichyan,hospital
NCC Bank,bank
एनआइसी एशिया बैंक लिमिटेड,bank
women and childrens organization,pulic_office
Pious English Boarding School,school
Global Bank,bank
Kantipur City College,college
KIST College,college
National Integrated College,college
Bal Bagaicha,school
Maitidevi Boarding High School,school
Maitidevi Kindergarten,kindergarten
Mid-Valley International College,college
Sagarmatha Multiple College,college
Siddhi Poly Path Lab,clinic
Suryodaya Jyoti Awasiya English Boarding School,school
Prabhu Bank,bank
Bijaya Smarak Higher Secondary School,school
College of Business Management,college
The Elite's Co-Ed,school
Sayapatri Children Education Academy,school
Bishwa Bhasha Campus,college
Nepal Law Campus,college
Ratna Rajya Campus,college
बुद्ध विहार,place_of_worship
Kathmandu E.N.T. Hospital and Research Center,hospital
Siddhartha Public Academy,school
Islington College-Brit House,university
Tri Chandra Campus,college
Dreamland Public School,school
Kathmandu Model Hospital,hospital
Madrasha Islamiya Secondary School,school
Balmeeki Campus,college
Kathmandu Model Hospital Dental Department,hospital
Kathmandu Model Hospital School of Oral Health,college
Kamyak School,school
Kathmandu Model College,college
Padma Kanya Campus,college
Trinity International College and Higher Secondary School,college
Platinum Management College,college
Himal Hospital,hospital
Aman English Boarding School,school
Asphodel Public school,school
New Don Bosco Academy,school
Maple School,school
Apollo Polyclinic,clinic
Rising Rays Boarding School,school
Islington College,college
Administrative Block,college
Galaxy Public School,school
Capital Hospital,hospital
Naxal Bhagawati,place_of_worship
Little Italy Kathmandu,restaurant
Kasi Restaurant Pvt. Ltd.,restaurant
Rising Mall,toilets
Prabhu Bank,bank
Kathmandu Valley Drinking Water Limited,public_office
IIMS college,college
Ram Sita Temple,place_of_worship
Eurasia Reiyukai,organization
a first friend pre school,kindergarten
Attic Bar & Resturant,restaurant
Swatha Parichyan,hospital
Flashpoint Cyber And Communications,internet_cafe
Gracure Pharma Nepal (P.) Ltd,pharmacy
Krishi Bikash Bank,bank
UNIVERSAL COLLEGE OF MEDICAL SCIENCES & UCMS COLLEGE OF DENTAL SURGERY,hospital
Rural Microfinance development centre ltd,Cooperative
Deoch an Doris,restaurant
Best Food Cafe,fast_food
sunrise bank private ltd.,bank
Prabhu bank,bank
Valley Maternity Nursing Home,hospital
Capital Fast Food,fast_food
Kamaladi Ganesh,place_of_worship
Nepal Telecommunication Authority,public_office
Kathmandu Metropolitan Ward 29,public_office
Radha Krishna Temple,place_of_worship
Kathmandu Metropolitan Office,public_office
Kathmandu City Health Clinic,clinic
sri bajrabir mahankal temple,temple
Jain Temple,place_of_worship
Dharma travels,travels and tours
shemrock school,school
Ganesh Temple,place_of_worship
nepal bangladesh bank ltd.,bank
prime bank,bank
ram mandir,temple
Valley fuel centre,fuel
Tukucha Tarkari Bajar,marketplace
Marie Stopes Centre - Putalisadak,clinic
Rajdhani sweets,restaurant
काठमाडौं भान्सा,restaurant
सोह्रहाते गणेश,place_of_worship
Dent Inn - The Dental Clinic,dentist
Big Cinema,cinema
Pyongyang Okryu Gwan Restaurant,restaurant
Agriculture Development Bank ( Ratna Park Branch ),bank
Kamal Pokhari Police Station,police
नबिल बैंक,bank
सचदेवा संस्थान,school
NCC Bank,bank
Everest Bank Limited,bank
Nepal Investment Bank,atm
Bakery Sweets,fast_food
किष्ट बैंक,atm
Western Union Money Transfer,bureau_de_change
Ktm Metropolitan Ward 32 Office,public_building
बेगीनर्स होम एकेडेमी,school
सिद्धार्थ बैंक,bank
Rastriya Banijya Bank,bank
A-one Saving and Credit Co-operatives,bank
काठमाडौं उपत्यका शिक्षा केन्द्र,school
Jaya Bindavasini Saving and Co-operatives,bank
Mahalaxmi Finance ltd,bank
Nise Pharma,pharmacy
Kumari Bank Ltd,bank
अमेरिकन एजुकेशन फाउण्डेशन,school
New Plaza Kitchen,restaurant
राइजिङ रे बोर्डिङ स्कूल,school
New Don Bosco for Kids,kindergarten
Secured Co-operatives,bank
सिमा सीए वर्गहरू क्लासेस,school
Mainali law office,courthouse
वाइब्रेंट प्रवेश तयारी संस्था,school
CCMA college,college
Pharmaceuticals,pharmacy
Tirupati savings & credit co-operatives,bank
Machhapuchchhre Bank,bank
Nepal Share market and finance,marketplace
NSM merchant banking and investment,bank
Name Cafe and Restaurant,restaurant
Sai baba Pharmacy,pharmacy
Rural Microfinance development centre ltd,bank
Oracle saving & credit co-operatives,bank
Trikon saving & credit co-operatives,bank
Mata Manakamana Arogya Clinic,clinic
Sheetal garden restaurant and bar,restaurant
Goodwill Finance,bank
गणेश मन्दिर,place_of_worship
Universal language and computer institute,school
कोमल गणेश मन्दिर,place_of_worship
बैंक अफ एसिया,bank
Institute of International Management Science,college
International Centre for Academics,college
Cafereena,restaurant
Everest momo,fast_food
Ducky Duck,fast_food
नेपाल इन्भेष्टमेन्ट बैंक लिमिटेड,atm
सनराइज बैंक,atm
ASLI Mandap,social_center
Aabhusan Cafe,cafe
PkG fast-food,fast_food
Bhojan Griha,restaurant
Pizza Hut,restaurant
Shrine,place_of_worship
Advanced Ortho-Dental Clinic,dentist
गणेश मन्दिर,place_of_worship
Coffee Express,cafe
NMB Bank,bank
Baskin-Robbins,ice_cream
Lunch Plaza,fast_food
Riddhi Sidhhi Pharmacy,pharmacy
NMB,atm
Nabil Bank,atm
गणेश मन्दिर,place_of_worship
Dhunge Dhara,drinking_water
Super X ray Clinic,clinic
कुमारी मन्दिर,place_of_worship
Healthy Ortho Dental Clinic,dentist
International School of Tourism & Hotel Management,college
Kathmandu Fast Food,fast_food
Kathmandu Finance Pvt. Ltd,bank
गणेश मन्दिर,place_of_worship
SYLPH Films,studio
Mountain Television,college
Ram Mandir,place_of_worship
Bryan's Grill,restaurant
The Coffee Shop,cafe
विन्टेज,restaurant
Red Carpet,restaurant
Magic Beans,cafe
बेकरी क्याफे,cafe
Padmakanya Vidyashram H.S. School and College,school
कालिकास्थान मन्दिर,place_of_worship
"Alta-Vista, A school of Spanish Language",language_school
Siddhartha Poly Clinic,clinic
मैतीदेवी मन्दिर,place_of_worship
Furniture Trade Link,shop
Public Toilet,toilets
युनाइटेड फाइनान्स प्राइभेट लिमिटेड,bank
मोःमोः किंग रेस्टुरेन्ट,restaurant
Islington Canteen,cafe
कश्मीरी मस्जिद,place_of_worship
"Nepal SBI Bank Limited, Corporate Office",bank
Laxmi Bank Atm,atm
Wifi Food Cafe,restaurant
गौतम बेकरी,cafe
Himalayan Java,cafe
Prem Sekuwa Center and Bhojanalya Center,restaurant
Gyaneshwor Petrol Pump,fuel
Vivanta Zahnklinik,clinic
नर्लिङ गजल,restaurant
पूर्वाधार विकास बैंक,bank
हिमालय जाभा क्याफे,cafe
वेस्टर्न युनियन,money_transfer
मनी ग्राम,bureau_de_change
वेस्टर्न युनियन,bank
प्रदमा एक्सचेन्ज,bureau_de_change
New Show Palace Restaurant,restaurant
एक्सप्रेसो डिलाईट,cafe
मोमो लिसियस,fast_food
रेस्टुरेन्ट मिर्ची,fast_food
Momo King,fast_food
रातको रानी नृत्य बार,nightclub
Marpa Kitchen,restaurant
सेकुरा स्नूकर फास्टो फूड रेस्टुरेन्ट,fast_food
Bank of Kathmandu,bank
Global IME Bank,bank
Goodwill Finance,bank
Laxmi Bank,bank
नबिल बैंक,bank
Siddhartha Bank Limited,bank
Celebration's Banquet,restaurant
चिनियाँ स्टिक फूड क्याफे,restaurant
Mezze by Roadhouse,restaurant
एन.एम.बी. बैंक,bank
प्रभु बैंक,bank
यपागोडा क्याफे,cafe
A-one,restaurant
क्याफे दे जमल,cafe
फेसबुक रेष्टुरेन्ट,restaurant
सिटी डेन्टल क्लिनिक,dentist
Aroma,cafe
कूल शेफ रेष्टुरेन्ट,restaurant
Nepal Music Director Association,community_centre
Library,library
क्याफेटेरिया,cafe
रसायन विज्ञान विभाग,school
जीवविज्ञान विभाग,school
भौतिकशास्त्र विभाग,school
Chandrakesh Pharmacy,pharmacy
Namrata Medical Hall,pharmacy
Shree Di Sei Pharma,pharmacy
डो रे मी,music_school
मामामिया,cafe
मुस्ताङ थकाली,restaurant
स्टार क्याफे,cafe
पर्यटक बस स्टेशन,bus_station
Coffee Time,cafe
राष्ट्रीय सभा गृह,townhall
Bhrigu Batika Montessori,kindergarten
Kathmandu Plaza,post_office
Red Cross Blood Bank,blood_bank
Appolo Medical & Pharmacy,pharmacy
Montessori,childcare
काठमाडौं मेडिकल कलेज,hospital
NIC ASIA DilliBazzar Branch,bank
एसियन जीवन बीमा,post_office
Cafe,cafe
Himalayan Bank Ltd,bank
medical shop,pharmacy
Taplejung Tongba House,restaurant
Hygeinic Fast Food and Meat Store,fast_food
चाप्रो क्याफे एण्ड बार,fast_food
Yara Digital Photo,studio
ए टी बर्गर पोइन्ट,fast_food
श्री गणेश,place_of_worship
kunta medical,clinic
Kalika Securities,bureau_de_change
Lion Heart Tandoori Kitchen,restaurant
Russian Cultural Centre,theatre
सिभिल बैंक,bank
क्यूको सिनेमा,cinema
Pragya Prathisthan Library,library
शिन्वा कोरियन भाषा,school
दुध सागर,restaurant
हिमावारी जापानी भाषा विद्यालय,language_school
धिताल कोल्ड स्टोर (डीसीएस),fast_food
हिमावारी जापानी परामर्श,school
युनिग्लोब उच्च माध्यमिक विद्यालय,school
बहु ट्रस्ट बचत तथा ऋण सहकारी,community_centre
ओभरनाइट एक्सप्रेस,bureau_de_change
Vintage Food Factory,restaurant
मेरो टेकवे,fast_food
सेभेन हिल्स फाउण्डेशन (एजुकेशन कन्सल्टेन्सी),school
मेगा बैंक,bank
प्राइम कमर्सियल बैंक,bank
बाल संरक्षण केन्द्र र सुरक्षा,community_centre
सुभ लाभ फार्मेसी,pharmacy
पद्मोदया उच्च माध्यमिक विद्यालय,school
ग्रान्डी सिटी अस्पताल,hospital
नेपाल बैंक लिमिटेड,bank
नाङ्गलो क्याफे र पब,restaurant
क्यूको सिनेमा,cinema
Dillibazar Central Jail,police
लुम्बिनी बिकास बैंक लिमिटेड,bank
Coffee Pasal,cafe
नबिल बैंकको ए.टी.एम.,atm
भगवती बहाल मन्दिर,place_of_worship
थिल थिल कुमारी,place_of_worship
केदारेश्वर मन्दिर,place_of_worship
पञ्च कुमारी मन्दिर,place_of_worship
ग्लोबल स्टडी पार्टनर्स नेपाल,school
ल्याण्डमार्क कन्सलटेन्सी,school
Tawa,restaurant
Mahalaxmi Bikas Bank,bank
Prabhu Bank,bank
The Zanzibar Reataurant,restaurant
Kumari Bank,bank
Sam's One Tree Cafe;Skechers,restaurant
"ड्रिस्टि, दृष्टि आँखा केन्द्र",clinic
SBI Bank,bank
गणेश मन्दिर,place_of_worship
केईसी इंस्टिट्यूट,school
Sathi Food Cafe,restaurant
Khotange Khaja Ghar,fast_food
Valley Café,fast_food
Lumbini Tea Shop,restaurant
स्काइफल शैक्षिक परामर्श,school
माया एनिमेसन एकेडेमी,school
"वातावरण विज्ञान विभाग, त्रिभुवन विश्वविद्यालय",university
Hungry Hut,restaurant
टुर एक्सप्रेस एण्ड भेहिकल सर्भिस प्रा.लि.,car_rental
mega bank,bank
Times International College,college
Pizza Zone,restaurant
सिद्धि विनायक मन्दिर,place_of_worship
ग्यालेक्सी पब्लिक विद्यालय,school
Siddi Polygenic and Diagnostic Centre,clinic
श्वेत बिनायक मन्दिर,place_of_worship
Joshi Food Cafe,restaurant
ग्लोबल आइएमई बैंक,bank
The Burger House & Crunchy Fried Chicken,restaurant
Sanogaucharan Pharmacy,pharmacy
कलेज अफ बिजनेस म्यानेजमेन्ट (सीबीएम),college
बैंक अफ काठमाडौं,bank
सानिमा लाइफ इन्स्योरेन्स,bank
City Express Money Transfer Corporate Office,bank
Himalayan Beanz barista and bakery school,cafe
The Chinese Resturant Beijing Garden,restaurant
RS pharmacy,pharmacy
Jyoti Bikash Bank,bank
KFC,fast_food
सिभिल बैंक लिमिटेड,bank
Modern Newa English School,kindergarten
Bank of Kathmandu Ltd,bank
Genral Post Office,post_office
Kakshalaya Kindergarten School,kindergarten
Mother's Pride,kindergarten
ganesh temple,place_of_worship
सफ्टवेरिका कलेज अफ आईटी एण्ड ई-कमर्स,college
Kamaladi Bhancha Ghar Restaurant and Bar,restaurant
"Nepal House Restaurant, Hattisar",restaurant
Global IME Bank,bank
आलिस,restaurant
Mani Secretarial,shop
Himalayan Java Coffee,cafe
Nepal SBI Bank,bank
Prime Bank,bank
हेराल्ड कलेज,college
We Care,clinic
मल्पी सिटी विद्यालय,school
Agriculture Development Bank,bank
Beijing Garden,restaurant
Islington College,college
Royal Bhatti,restaurant
Fresh Bite Cafe,cafe
NIC Asia Bank,bank
Tawa,restaurant
Bhiddutkarmi Workers Multipurpose Copoerative Society,bank
Tridevi Thakali Bhansa and Khaja Ghar,restaurant
Nepal Bank Limited,bank
Colosseum Lounge and Bar,nightclub
Hello Cafe,cafe
A Multi Cusine Restaurant,restaurant
Tuki Resturant and Coffee Corner,restaurant
NIC ASIA BANK,bank
Rasi Khaja Ghar,fast_food
Red Cherry Fast Food,fast_food
Kumari Resturant,restaurant
Momo Guru,fast_food
Sai Baba Ausadhi Pasal,pharmacy
Sunrise Bank Limited,bank
एस बी समाज,dentist
Jamkabhet Resturant and Cafe,restaurant
Best Food Cafe,cafe
The Everest Momo Center,fast_food
सिटी स्केप थकाली,fast_food
Burger Hub Family Restro,fast_food
सोमलता पतंजलि आयुर्वेद केन्द्र प्रा.लि,hospital
Puskar Sekuwa Corner,fast_food
NaryanDaii Ko Famous MoMo,fast_food
माधवि संगित पाठशाला,music_school
Rastriya Banijya Bank ATM,atm
Samins Before Lunch And Restaurant And Bar,restaurant
Arbon Saving And Credit Cooperative Ltd,bank
Divya Gyan College,college
APU (Asia pacific university of technology & innovation ),college
Hamro Sakriyeta Saving And Credit Cooperative Ltd,bank
गार्डन अफ बड्स प्रि स्कूल,school
Sahara Tandoori Cafe,cafe
Surya Bahuudasiye Sansthan Ltd.,bank
Oral And Dental Clinic,clinic
Chaudary Juice Bhandar,cafe
Himalayan Fast Food And Syanko Katti Roll,restaurant
Momo Point,restaurant
Tipeeka Coffee And Barista Training School,training
Rambos Resturant Tandoori And Fast Food,restaurant
Amity Saving And Credit Cooperative Ltd,bank
Chhano Restro,restaurant
The Cater Aakhabarey Jhol Momo,restaurant
Manjushree Recording Studio,studio
प्रभु बैंक एटीएम,atm
Prabhu Bank,bank
Siddharta Bank Extension Counter,bank
Global IME Bank ATM,atm
BM Abroad Documentation center,internet_cafe
Samriddhi Finance Company Ltd,bank
Golden Gate And Credit Cooperative Ltd,bank
United Saving And Credit Cooperative Ltd,bank
Subh Ultrasound Clinic,clinic
Multitech General suppliers,internet_cafe
Big Bell Sweets And Snacks Pvt.Ltd,cafe
नूर अरबी भाषा केन्द्र,language_school
लुम्बिनी फास्ट फूड तथा खाजा घर,fast_food
हाजीस फूड हब्,social_facility
नबिल बैंक ए.टी.एम.,atm
ओरल सोलुसन - दन्त क्लिनिक,dentist
श्री कृष्ण भक्ति योग धाम,place_of_worship
Jyoti Bikash Bank ATM,atm
Machhapuchchhre Bank ATM,atm
Jhamey Money Transfer IME,money_transfer
City Express Saving And Credit Cooperative Pvt.Ltd,bank
City Express Money Transfer,money_transfer
Kantipur Saving And Credit Cooperative Ltd,bank
Sahakari Rin Kosh Bachat Tatha Rin Sahakari,bank
जोर्बा बचत तथा ऋण सहकारी संस्था लिमिटेड,bank
City Express Money Transfer,money_transfer
City Express,money_transfer
तन्दुरी भोजनालय,restaurant
Namaste Lumbini Bhojanalaya and Fast Food,restaurant
Runo Pharmacy Pvt.Ltd,pharmacy
काठमाडौँ न्यूरो एण्ड जनरल अस्पताल,hospital
One Health Clinic Pvt.Ltd,clinic
Siddhi Ultra Sound Clinic,clinic
Kathmandu Model Hospital Dental Department,dentist
Bagbazar Special Momo Center,restaurant
Nepal Bank Limited ATM,atm
Chahana Rodhi Ghar,pub
Shree Medi Pharmacy,pharmacy
Marie Stopes Center,clinic
Hiranya Ayurvedic Pharma,clinic
City Express,money_transfer
Shishir Medical Hall,clinic
Kavre Veg Mo Mo,restaurant
दृश्य बिन्दु फास्ट फूड र रेस्टुरन्ट,restaurant
Syanko Joy of Katti Roll,restaurant
सन्धार मोमो र भोजनालय,restaurant
पञ्चा भोजनालय र रेस्टुरेन्ट,restaurant
पाल्पाली प्रसिद्ध खजा घर,restaurant
होटल पुरबेली,restaurant
बिष्णु पूर्ण आयुर्वेदिक केन्द्र,clinic
Puskar Chadani Khaja Ghar,restaurant
प्रभु मनी ट्रान्सफर,money_transfer
Bhok Lagyo Mad about Food,restaurant
Ghanshyam Daii ko Khaja,restaurant
Padini Chamena Ghirha,restaurant
आरम्भ नेवारी रेस्ट्रो र क्याफे,restaurant
Phileo Cafe,cafe
Smile Line Specialist Dental Care Pvt.Ltd,dentist
Chandra Medical Hall,pharmacy
Bhirkuti Polyclinic Pvt. Ltd,clinic
नेपाल इन्भेष्टमेन्ट बैंकको एटीएम,atm
कोटा खाद्य सेवाहरू,restaurant
Pasang Hotel,restaurant
Bhirkuti Mandap Khaja Ghar,restaurant
Jayswal Fastfood,restaurant
Bulbuley Tandhuri Bhojanayala,restaurant
Pk Fast Food And Cafe,restaurant
Harati Momo And Fast Food,restaurant
Roshni Medical Pharma,pharmacy
सुपर लुम्बिनी फास्ट फूड र तन्दुरी भोजनालय,restaurant
Unity Food Cafe,restaurant
Famous Lumbini Tandoori Bhojanalaya,restaurant
श्री कृष्ण औषधालय,pharmacy
Subhadikshya Saving And Credit Cooperative Ltd,bank
Rajdhani Saving And Credit Cooperative Ltd,bank
Sudhurpachsim Fast Food,restaurant
Syanko Katti Roll,restaurant
The Burger House And Crunchy Fried Chicken,restaurant
Second Home Fast Food,restaurant
Haizum Sub Money Transfer,money_transfer
Lumbini Majheri Tandoori And Resturant,restaurant
Lilys Katti Roll And Fast Food,restaurant
Siddharta Medi Pharma,pharmacy
Nepal Cooperative Society Ltd,bank
Bajrayogini Bhojanayala And Fast Food Resturant,restaurant
Bimala Sweets,restaurant
प्रभु मनी ट्रान्सफर,money_transfer
Prime Bank Ltd Atm,atm
Prime Bank Ltd,bank
32 Cafe,restaurant
Jaybaba Motorcycle Workshop,bicycle_repair_station
K Family And Resturant,restaurant
Durbar And ARB Bhojanayala,restaurant
Dipika Bhojanayala And Resturant,restaurant
Kantipur Tandoori And Bhojanayala,restaurant
Harit Agricultural Cooperative Ltd,bank
Sharda Mai Saving And Credit Cooperative Ltd,bank
Yuwa Awaj Saving And Credit Cooperative Ltd,bank
Jasmine Pharmacy And Clinic Pvt.Ltd,clinic
Fullmoon Saving And Credit Cooperative Ltd,bank
Udayashree Saving And Credit Cooperative Ltd,bank
Tuki Jhol Resturant,restaurant
New Lumbini Tandoori Bhojanayala,restaurant
Riwaj Pharma,pharmacy
Dhaulagiri Khaja Ghar,restaurant
Easyway Saving And Credit Cooperative Ltd,bank
Micro Digital Photo Studio,studio
JF Fast Food And Resturant,restaurant
Subhaya Medical Hall,clinic
Club Katti Roll And Burger,restaurant
Civil Dental Home,clinic
Super Lumbini Tandoori Resturant And Lodge,restaurant
Thakali Bhojanalaya And Resturant,restaurant
Mustang Thakali And Bhansa Ghar,restaurant
Survottam Multipurpose Cooperative Ltd,bank
Image Pharma,pharmacy
Everest Momo,restaurant
रिगल नृत्य तथा प्रशिक्षण केन्द्र,dancing_school
स्वादिष्ट मोमो र फास्ट फूड,restaurant
काठमाडौं ईएनटी हस्पिटल प्रा. लि,hospital
नयाँ बिशाल मोमो केन्द्र,restaurant
नयाँ शहर फास्ट फूड,restaurant
The Burger House & Crunchy Fried Chicken,fast_food
Om Veg Momo,fast_food
Nepal SBI Bank,bank
ग्लोबल आईएमई बैकं लिमिटेड,bank
Sandar MoMo,restaurant
Vista B Coffee,cafe
Shree Investment & Finance Co. Ltd,bank
loksewa ayoge,college
Fast & Fresh Zone,restaurant
मिराणा बेकर्स र क्याफे,cafe
pk canteen,fast_food
Lasa Kusa,restaurant
Chiya Ghar,cafe
Imark Pvt. Ltd,cafe
Kavreli Khaja Ghar,fast_food
Global Ime Bank,bank
Bajeko Pakauda Pasal,fast_food
Global IME Bank Dillibazzar Branch,bank
Veg Corner,restaurant
